benchmark,ablation,benchmark_label,seed,step,item,truth,prediction,probability,brier,entropy,top_theory,top_weight,correction_asked,correction_applied,correction_feature,correction_action
liquid,full,liquid (full),1,7,water,1,1,0.28795799488843915,0.507003817043292,2.447461446710075,"lambda f: f.get('is_liquid', False)",0.2798799807134836,1,1,can_boil,verify_extraction
liquid,full,liquid (full),1,8,iron,0,0,0.2798799807134836,0.07833280360417993,2.387476286074039,"lambda f: f.get('is_liquid', False)",0.29587392248091954,0,0,,
liquid,full,liquid (full),1,9,mercury,1,1,0.29587392248091954,0.4957935330424062,2.386549864344444,"lambda f: f.get('is_liquid', False)",0.29913722501124534,1,1,can_boil,verify_extraction
liquid,full,liquid (full),1,10,orange juice,1,1,0.29913722501124534,0.49120862936493764,2.3465774057738646,"lambda f: f.get('is_liquid', False)",0.32002930852830586,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,1,ice,0,1,0.5,0.25,4.145158974054464,"lambda f: f.get('is_liquid', False)",0.07189490389530959,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,2,maple syrup,1,1,0.07189490389530959,0.8613790694154966,4.113075077799989,"lambda f: f.get('is_liquid', False)",0.08254381141965639,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,3,mercury,1,1,0.08254381141965639,0.841725857964371,2.922290823259533,"lambda f: f.get('is_liquid', False)",0.17837756232457042,1,1,is_liquid,reduce
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,4,paper,0,0,0.17837756232457042,0.031818554740856,3.5238355464764948,"lambda f: f.get('is_liquid', False)",0.20321156843636834,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,5,vegetable oil,1,1,0.20321156843636834,0.6348718046736321,2.8751986817994526,"lambda f: f.get('is_liquid', False)",0.24096006740168335,1,1,is_liquid,reduce
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,6,iron,0,0,0.24096006740168335,0.058061754082223783,2.9295395363163528,"lambda f: f.get('is_liquid', False)",0.2482513334314513,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,7,orange juice,1,1,0.2482513334314513,0.5651260576875909,2.6503025873396138,"lambda f: f.get('is_liquid', False)",0.2652582903476405,1,1,has_sugar,verify_extraction
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,8,water,1,1,0.2652582903476405,0.5398453799028722,2.62681911085842,"lambda f: f.get('is_liquid', False)",0.2685090442741104,1,1,can_boil,verify_extraction
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,9,liquid glue,1,1,0.2685090442741104,0.5350790183087755,2.446490834452785,"lambda f: f.get('is_liquid', False)",0.24658508782320368,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,10,gun,0,0,0.24658508782320368,0.060804205536777074,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,1,1,can_freeze,boost
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,1,gun,0,1,0.5,0.25,4.145154319674404,"lambda f: f.get('is_liquid', False)",0.071900677273353,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,2,maple syrup,1,1,0.071900677273353,0.8613683528456608,4.031271359124838,"lambda f: f.get('is_liquid', False)",0.08858483756121568,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,3,liquid glue,1,1,0.08858483756121568,0.8306775983233156,2.9224178087832757,"lambda f: f.get('is_liquid', False)",0.17777371159647878,1,1,is_liquid,reduce
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,4,ice,0,0,0.17777371159647878,0.031603492534788016,2.921977389711277,"lambda f: f.get('is_liquid', False)",0.23391082679219552,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,5,paper,0,0,0.23391082679219552,0.05471427489060849,3.17563342229578,"lambda f: f.get('is_liquid', False)",0.23070053777033683,1,1,is_liquid,reduce
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,6,vegetable oil,1,1,0.23070053777033683,0.591821662586849,2.552720272554427,"lambda f: f.get('is_liquid', False)",0.28795799488843915,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,7,water,1,1,0.28795799488843915,0.507003817043292,2.447461446710075,"lambda f: f.get('is_liquid', False)",0.2798799807134836,1,1,can_boil,verify_extraction
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,8,iron,0,0,0.2798799807134836,0.07833280360417993,2.387476286074039,"lambda f: f.get('is_liquid', False)",0.29587392248091954,0,0,,
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,9,mercury,1,1,0.29587392248091954,0.4957935330424062,2.3870633749343058,"lambda f: f.get('is_liquid', False)",0.2985559267012188,1,1,can_boil,verify_extraction
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,10,orange juice,1,1,0.2985559267012188,0.49202378796598595,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,1,1,can_freeze,boost
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,1,ice,0,1,0.5,0.25,4.145158974054464,"lambda f: f.get('is_liquid', False)",0.07189490389530959,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,2,maple syrup,1,1,0.07189490389530959,0.8613790694154966,4.113075077799989,"lambda f: f.get('is_liquid', False)",0.08254381141965639,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,3,mercury,1,1,0.08254381141965639,0.841725857964371,2.922290823259533,"lambda f: f.get('is_liquid', False)",0.17837756232457042,1,1,is_liquid,reduce
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,4,paper,0,0,0.17837756232457042,0.031818554740856,3.5238355464764948,"lambda f: f.get('is_liquid', False)",0.20321156843636834,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,5,vegetable oil,1,1,0.20321156843636834,0.6348718046736321,2.8751986817994526,"lambda f: f.get('is_liquid', False)",0.24096006740168335,1,1,is_liquid,reduce
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,6,iron,0,0,0.24096006740168335,0.058061754082223783,2.9295395363163528,"lambda f: f.get('is_liquid', False)",0.2482513334314513,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,7,orange juice,1,1,0.2482513334314513,0.5651260576875909,2.6503025873396138,"lambda f: f.get('is_liquid', False)",0.2652582903476405,1,1,has_sugar,verify_extraction
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,8,water,1,1,0.2652582903476405,0.5398453799028722,2.62681911085842,"lambda f: f.get('is_liquid', False)",0.2685090442741104,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,9,liquid glue,1,1,0.2685090442741104,0.5350790183087755,2.446490838216054,"lambda f: f.get('is_liquid', False)",0.2465850877957619,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,10,gun,0,0,0.2465850877957619,0.06080420552324361,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,1,1,can_freeze,moderate_boost
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,1,gun,0,1,0.5,0.25,4.145154319674404,"lambda f: f.get('is_liquid', False)",0.071900677273353,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,2,maple syrup,1,1,0.071900677273353,0.8613683528456608,4.031271359124838,"lambda f: f.get('is_liquid', False)",0.08858483756121568,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,3,liquid glue,1,1,0.08858483756121568,0.8306775983233156,2.9224178087832757,"lambda f: f.get('is_liquid', False)",0.17777371159647878,1,1,is_liquid,reduce
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,4,ice,0,0,0.17777371159647878,0.031603492534788016,2.921977389711277,"lambda f: f.get('is_liquid', False)",0.23391082679219552,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,5,paper,0,0,0.23391082679219552,0.05471427489060849,3.17563342229578,"lambda f: f.get('is_liquid', False)",0.23070053777033683,1,1,is_liquid,reduce
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,6,vegetable oil,1,1,0.23070053777033683,0.591821662586849,2.552720272554427,"lambda f: f.get('is_liquid', False)",0.28795799488843915,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,7,water,1,1,0.28795799488843915,0.507003817043292,2.447461446710075,"lambda f: f.get('is_liquid', False)",0.2798799807134836,1,1,can_boil,verify_extraction
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,8,iron,0,0,0.2798799807134836,0.07833280360417993,2.387476286074039,"lambda f: f.get('is_liquid', False)",0.29587392248091954,0,0,,
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,9,mercury,1,1,0.29587392248091954,0.4957935330424062,2.386549864344444,"lambda f: f.get('is_liquid', False)",0.29913722501124534,1,1,can_boil,verify_extraction
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,10,orange juice,1,1,0.29913722501124534,0.49120862936493764,2.3465774057738646,"lambda f: f.get('is_liquid', False)",0.32002930852830586,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,1,ice,0,1,0.5,0.25,4.145158974054464,"lambda f: f.get('is_liquid', False)",0.07189490389530959,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,2,maple syrup,1,1,0.07189490389530959,0.8613790694154966,4.113075077799989,"lambda f: f.get('is_liquid', False)",0.08254381141965639,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,3,mercury,1,1,0.08254381141965639,0.841725857964371,2.922290823259533,"lambda f: f.get('is_liquid', False)",0.17837756232457042,1,1,is_liquid,reduce
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,4,paper,0,0,0.17837756232457042,0.031818554740856,3.5238355464764948,"lambda f: f.get('is_liquid', False)",0.20321156843636834,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,5,vegetable oil,1,1,0.20321156843636834,0.6348718046736321,2.8751986817994526,"lambda f: f.get('is_liquid', False)",0.24096006740168335,1,1,is_liquid,reduce
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,6,iron,0,0,0.24096006740168335,0.058061754082223783,2.9295395363163528,"lambda f: f.get('is_liquid', False)",0.2482513334314513,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,7,orange juice,1,1,0.2482513334314513,0.5651260576875909,2.6503025873396138,"lambda f: f.get('is_liquid', False)",0.2652582903476405,1,1,has_sugar,verify_extraction
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,8,water,1,1,0.2652582903476405,0.5398453799028722,2.62681911085842,"lambda f: f.get('is_liquid', False)",0.2685090442741104,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,9,liquid glue,1,1,0.2685090442741104,0.5350790183087755,2.446490838216054,"lambda f: f.get('is_liquid', False)",0.2465850877957619,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,10,gun,0,0,0.2465850877957619,0.06080420552324361,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,1,1,can_freeze,moderate_boost
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,1,gun,0,1,0.5,0.25,4.145154319674404,"lambda f: f.get('is_liquid', False)",0.071900677273353,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,2,maple syrup,1,1,0.071900677273353,0.8613683528456608,4.031271359124838,"lambda f: f.get('is_liquid', False)",0.08858483756121568,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,3,liquid glue,1,1,0.08858483756121568,0.8306775983233156,2.9224178087832757,"lambda f: f.get('is_liquid', False)",0.17777371159647878,1,1,is_liquid,reduce
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,4,ice,0,0,0.17777371159647878,0.031603492534788016,2.921977389711277,"lambda f: f.get('is_liquid', False)",0.23391082679219552,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,5,paper,0,0,0.23391082679219552,0.05471427489060849,3.17563342229578,"lambda f: f.get('is_liquid', False)",0.23070053777033683,1,1,is_liquid,reduce
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,6,vegetable oil,1,1,0.23070053777033683,0.591821662586849,2.552720272554427,"lambda f: f.get('is_liquid', False)",0.28795799488843915,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,7,water,1,1,0.28795799488843915,0.507003817043292,2.447461446710075,"lambda f: f.get('is_liquid', False)",0.2798799807134836,1,1,can_boil,verify_extraction
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,8,iron,0,0,0.2798799807134836,0.07833280360417993,2.387476286074039,"lambda f: f.get('is_liquid', False)",0.29587392248091954,0,0,,
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,9,mercury,1,1,0.29587392248091954,0.4957935330424062,2.386549864344444,"lambda f: f.get('is_liquid', False)",0.29913722501124534,1,1,can_boil,verify_extraction
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,10,orange juice,1,1,0.29913722501124534,0.49120862936493764,2.3465774057738646,"lambda f: f.get('is_liquid', False)",0.32002930852830586,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,1,ice,0,1,0.5,0.25,4.145158974054464,"lambda f: f.get('is_liquid', False)",0.07189490389530959,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,2,maple syrup,1,1,0.07189490389530959,0.8613790694154966,4.113075077799989,"lambda f: f.get('is_liquid', False)",0.08254381141965639,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,3,mercury,1,1,0.08254381141965639,0.841725857964371,2.922290823259533,"lambda f: f.get('is_liquid', False)",0.17837756232457042,1,1,is_liquid,reduce
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,4,paper,0,0,0.17837756232457042,0.031818554740856,3.5238355464764948,"lambda f: f.get('is_liquid', False)",0.20321156843636834,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,5,vegetable oil,1,1,0.20321156843636834,0.6348718046736321,2.8751986817994526,"lambda f: f.get('is_liquid', False)",0.24096006740168335,1,1,is_liquid,reduce
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,6,iron,0,0,0.24096006740168335,0.058061754082223783,2.9295395363163528,"lambda f: f.get('is_liquid', False)",0.2482513334314513,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,7,orange juice,1,1,0.2482513334314513,0.5651260576875909,2.6503025873396138,"lambda f: f.get('is_liquid', False)",0.2652582903476405,1,1,has_sugar,verify_extraction
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,8,water,1,1,0.2652582903476405,0.5398453799028722,2.62681911085842,"lambda f: f.get('is_liquid', False)",0.2685090442741104,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,9,liquid glue,1,1,0.2685090442741104,0.5350790183087755,2.446490838216054,"lambda f: f.get('is_liquid', False)",0.2465850877957619,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,10,gun,0,0,0.2465850877957619,0.06080420552324361,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,1,gun,0,1,0.5,0.25,4.145154319674404,"lambda f: f.get('is_liquid', False)",0.071900677273353,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,2,maple syrup,1,1,0.071900677273353,0.8613683528456608,4.031271359124838,"lambda f: f.get('is_liquid', False)",0.08858483756121568,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,3,liquid glue,1,1,0.08858483756121568,0.8306775983233156,2.9224178087832757,"lambda f: f.get('is_liquid', False)",0.17777371159647878,1,1,is_liquid,reduce
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,4,ice,0,0,0.17777371159647878,0.031603492534788016,2.921977389711277,"lambda f: f.get('is_liquid', False)",0.23391082679219552,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,5,paper,0,0,0.23391082679219552,0.05471427489060849,3.17563342229578,"lambda f: f.get('is_liquid', False)",0.23070053777033683,1,1,is_liquid,reduce
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,6,vegetable oil,1,1,0.23070053777033683,0.591821662586849,2.552720272554427,"lambda f: f.get('is_liquid', False)",0.28795799488843915,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,7,water,1,1,0.28795799488843915,0.507003817043292,2.447461446710075,"lambda f: f.get('is_liquid', False)",0.2798799807134836,1,1,can_boil,verify_extraction
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,8,iron,0,0,0.2798799807134836,0.07833280360417993,2.387476286074039,"lambda f: f.get('is_liquid', False)",0.29587392248091954,0,0,,
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,9,mercury,1,1,0.29587392248091954,0.4957935330424062,2.386549864344444,"lambda f: f.get('is_liquid', False)",0.29913722501124534,1,1,can_boil,verify_extraction
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,10,orange juice,1,1,0.29913722501124534,0.49120862936493764,2.3587119620799064,"lambda f: f.get('is_liquid', False)",0.3045506910726489,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,1,ice,0,1,0.5,0.25,4.145158974054464,"lambda f: f.get('is_liquid', False)",0.07189490389530959,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,2,maple syrup,1,1,0.07189490389530959,0.8613790694154966,4.113075077799989,"lambda f: f.get('is_liquid', False)",0.08254381141965639,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,3,mercury,1,1,0.08254381141965639,0.841725857964371,2.922290823259533,"lambda f: f.get('is_liquid', False)",0.17837756232457042,1,1,is_liquid,reduce
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,4,paper,0,0,0.17837756232457042,0.031818554740856,3.5238355464764948,"lambda f: f.get('is_liquid', False)",0.20321156843636834,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,5,vegetable oil,1,1,0.20321156843636834,0.6348718046736321,2.8751986817994526,"lambda f: f.get('is_liquid', False)",0.24096006740168335,1,1,is_liquid,reduce
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,6,iron,0,0,0.24096006740168335,0.058061754082223783,2.9295395363163528,"lambda f: f.get('is_liquid', False)",0.2482513334314513,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,7,orange juice,1,1,0.2482513334314513,0.5651260576875909,2.6503025873396138,"lambda f: f.get('is_liquid', False)",0.2652582903476405,1,1,has_sugar,verify_extraction
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,8,water,1,1,0.2652582903476405,0.5398453799028722,2.62681911085842,"lambda f: f.get('is_liquid', False)",0.2685090442741104,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,9,liquid glue,1,1,0.2685090442741104,0.5350790183087755,2.446490838216054,"lambda f: f.get('is_liquid', False)",0.2465850877957619,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,10,gun,0,0,0.2465850877957619,0.06080420552324361,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,1,1,can_freeze,moderate_boost
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,1,gun,0,1,0.5,0.25,4.145154319674404,"lambda f: f.get('is_liquid', False)",0.071900677273353,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,2,maple syrup,1,1,0.071900677273353,0.8613683528456608,4.031271359124838,"lambda f: f.get('is_liquid', False)",0.08858483756121568,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,3,liquid glue,1,1,0.08858483756121568,0.8306775983233156,2.9224178087832757,"lambda f: f.get('is_liquid', False)",0.17777371159647878,1,1,is_liquid,reduce
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,4,ice,0,0,0.17777371159647878,0.031603492534788016,2.921977389711277,"lambda f: f.get('is_liquid', False)",0.23391082679219552,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,5,paper,0,0,0.23391082679219552,0.05471427489060849,3.17563342229578,"lambda f: f.get('is_liquid', False)",0.23070053777033683,1,1,is_liquid,reduce
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,6,vegetable oil,1,1,0.23070053777033683,0.591821662586849,2.552720272554427,"lambda f: f.get('is_liquid', False)",0.28795799488843915,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,7,water,1,1,0.28795799488843915,0.507003817043292,2.447461446710075,"lambda f: f.get('is_liquid', False)",0.2798799807134836,1,1,can_boil,verify_extraction
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,8,iron,0,0,0.2798799807134836,0.07833280360417993,2.387476286074039,"lambda f: f.get('is_liquid', False)",0.29587392248091954,0,0,,
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,9,mercury,1,1,0.29587392248091954,0.4957935330424062,2.386549864344444,"lambda f: f.get('is_liquid', False)",0.29913722501124534,1,1,can_boil,verify_extraction
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,10,orange juice,1,1,0.29913722501124534,0.49120862936493764,2.3465774057738646,"lambda f: f.get('is_liquid', False)",0.32002930852830586,0,0,,
scifi_movies,full,scifi_movies (full),0,1,paper,0,1,0.5,0.25,2.532726929837237,"lambda f: f.get('is_movie', False)",0.21469571022462727,0,0,,
scifi_movies,full,scifi_movies (full),0,2,camera,0,0,0.21469571022462727,0.046094247988857126,2.9796306602275875,"lambda f: f.get('is_movie', False)",0.16833637891092393,0,0,,
scifi_movies,full,scifi_movies (full),0,3,blade runner 2049,1,1,0.16833637891092393,0.6916643786429943,3.2389554428795377,"lambda f: f.get('is_movie', False)",0.13795199075241982,0,0,,
scifi_movies,full,scifi_movies (full),0,4,forrest gump,0,1,0.13795199075241982,0.01903075175255572,3.855172973411041,"lambda f: f.get('has_scifi_theme', False)",0.10405396482415649,0,0,,
scifi_movies,full,scifi_movies (full),0,5,the matrix,1,1,0.10405396482415649,0.8027192979473138,2.996689104400859,"lambda f: f.get('has_scifi_theme', False)",0.26799842945761754,1,1,has_future_setting,reduce
scifi_movies,full,scifi_movies (full),0,6,the godfather,0,0,0.26799842945761754,0.0718231581917496,2.807139242893608,"lambda f: f.get('has_scifi_theme', False)",0.29843339835367744,1,1,has_scifi_theme,reduce
scifi_movies,full,scifi_movies (full),0,7,interstellar,1,1,0.29843339835367744,0.4921956965455698,2.328140641725888,"lambda f: f.get('has_scifi_theme', False)",0.40568594362885185,1,1,has_future_setting,reduce
scifi_movies,full,scifi_movies (full),0,8,dune,1,1,0.40568594362885185,0.3532091976003283,2.1726592301262495,"lambda f: f.get('has_scifi_theme', False)",0.42147852446920664,1,1,has_space_setting,verify_extraction
scifi_movies,full,scifi_movies (full),0,9,arrival,1,1,0.42147852446920664,0.33468709765032634,2.0350034565239725,"lambda f: f.get('has_scifi_theme', False)",0.37728429392084994,0,0,,
scifi_movies,full,scifi_movies (full),0,10,titanic,0,0,0.37728429392084994,0.1423434384393543,2.3673053438281557,"lambda f: f.get('has_scifi_theme', False)",0.3264607236190771,1,1,has_space_setting,verify_extraction
scifi_movies,full,scifi_movies (full),1,1,titanic,0,1,0.5,0.25,3.5297292008583234,"lambda f: f.get('has_scifi_theme', False)",0.10838368230680508,0,0,,
scifi_movies,full,scifi_movies (full),1,2,camera,0,0,0.10838368230680508,0.011747022590382452,3.5454936948389344,"lambda f: f.get('has_scifi_theme', False)",0.12273021361244264,0,0,,
scifi_movies,full,scifi_movies (full),1,3,arrival,1,1,0.12273021361244264,0.7696022781084706,2.832514377040025,"lambda f: f.get('has_scifi_theme', False)",0.18913796263798446,0,0,,
