benchmark,ablation,benchmark_label,seed,n_examples,accuracy,brier,convergence_step,entropy_start,entropy_end,entropy_slope,correction_count
scifi_movies,ablate_recency_blend,scifi_movies (ablate_recency_blend),0,10,0.8,0.31555169987007425,3,2.532726929837237,2.36521035315774,-0.09545306095982325,4
scifi_movies,ablate_recency_blend,scifi_movies (ablate_recency_blend),1,10,0.9,0.30763020522490375,3,3.5297292008583234,2.36521035315774,-0.1543560816078171,3
scifi_movies,ablate_stale_feature_demotion,scifi_movies (ablate_stale_feature_demotion),0,10,0.8,0.3203767264759049,3,2.532726929837237,2.3673053438281557,-0.11032310678991628,5
scifi_movies,ablate_stale_feature_demotion,scifi_movies (ablate_stale_feature_demotion),1,10,0.9,0.32145116331706236,3,3.5297292008583234,2.3673053438281557,-0.15910418628309156,4
scifi_movies,ablate_active_learning_cooldown,scifi_movies (ablate_active_learning_cooldown),0,10,0.8,0.3203767264759049,3,2.532726929837237,2.3673053438281557,-0.11032310678991628,5
scifi_movies,ablate_active_learning_cooldown,scifi_movies (ablate_active_learning_cooldown),1,10,0.9,0.32145116331706236,3,3.5297292008583234,2.3673053438281557,-0.15910418628309156,4
scifi_movies,ablate_confirmation_memory_floor,scifi_movies (ablate_confirmation_memory_floor),0,10,0.8,0.3203767264759049,3,2.532726929837237,2.3673053438281557,-0.11032310678991628,5
scifi_movies,ablate_confirmation_memory_floor,scifi_movies (ablate_confirmation_memory_floor),1,10,0.9,0.32145116331706236,3,3.5297292008583234,2.3673053438281557,-0.15910418628309156,4
scifi_movies,ablate_anchor_override,scifi_movies (ablate_anchor_override),0,10,0.8,0.3203767264759049,3,2.532726929837237,2.3673053438281557,-0.11032310678991628,5
scifi_movies,ablate_anchor_override,scifi_movies (ablate_anchor_override),1,10,0.9,0.32145116331706236,3,3.5297292008583234,2.3673053438281557,-0.15910418628309156,4
devices,full,devices (full),0,10,0.9,0.38357563054531824,3,0.25370944677224216,2.9866173890831513,0.13174340992950528,7
devices,full,devices (full),1,10,0.9,0.43681970656954244,3,2.5327295134094223,2.9866173890831513,0.020343699446941935,7
devices,ablate_recency_blend,devices (ablate_recency_blend),0,10,0.9,0.39739623813425023,6,0.25370944677224216,2.9866173890831513,0.17587973478643462,7
devices,ablate_recency_blend,devices (ablate_recency_blend),1,10,0.9,0.43681970656954244,3,2.5327295134094223,2.9866173890831513,0.020343699446941935,7
devices,ablate_stale_feature_demotion,devices (ablate_stale_feature_demotion),0,10,0.9,0.38357563054531824,3,0.25370944677224216,2.9866173890831513,0.13174340992950528,7
devices,ablate_stale_feature_demotion,devices (ablate_stale_feature_demotion),1,10,0.9,0.43681970656954244,3,2.5327295134094223,2.9866173890831513,0.020343699446941935,7
devices,ablate_active_learning_cooldown,devices (ablate_active_learning_cooldown),0,10,0.9,0.38357563054531824,3,0.25370944677224216,2.9866173890831513,0.13174340992950528,7
devices,ablate_active_learning_cooldown,devices (ablate_active_learning_cooldown),1,10,0.9,0.43681970656954244,3,2.5327295134094223,2.9866173890831513,0.020343699446941935,7
devices,ablate_confirmation_memory_floor,devices (ablate_confirmation_memory_floor),0,10,0.9,0.38357563054531824,3,0.25370944677224216,2.9866173890831513,0.13174340992950528,7
devices,ablate_confirmation_memory_floor,devices (ablate_confirmation_memory_floor),1,10,0.9,0.43681970656954244,3,2.5327295134094223,2.9866173890831513,0.020343699446941935,7
devices,ablate_anchor_override,devices (ablate_anchor_override),0,10,0.9,0.38357563054531824,3,0.25370944677224216,2.9866173890831513,0.13174340992950528,7
devices,ablate_anchor_override,devices (ablate_anchor_override),1,10,0.9,0.43681970656954244,3,2.5327295134094223,2.9866173890831513,0.020343699446941935,7
noisy_food_adversarial,full,noisy_food_adversarial (full),0,10,0.7,0.28781088668869115,6,3.702071721282309,1.8083171261079312,-0.26476420371473847,2
noisy_food_adversarial,full,noisy_food_adversarial (full),1,10,0.8,0.2919102456819142,4,3.6169675599226427,1.7573699623550778,-0.24044892595333622,3
noisy_food_adversarial,ablate_recency_blend,noisy_food_adversarial (ablate_recency_blend),0,10,0.7,0.2718986596956459,6,3.702071721282309,1.8123070138066615,-0.27158504125965366,3
noisy_food_adversarial,ablate_recency_blend,noisy_food_adversarial (ablate_recency_blend),1,10,0.8,0.29190838596164603,4,3.6169675599226427,1.7573699623550778,-0.2404529722639935,3
noisy_food_adversarial,ablate_stale_feature_demotion,noisy_food_adversarial (ablate_stale_feature_demotion),0,10,0.7,0.28781088668869115,6,3.702071721282309,1.8083171261079312,-0.26476420371473847,2
noisy_food_adversarial,ablate_stale_feature_demotion,noisy_food_adversarial (ablate_stale_feature_demotion),1,10,0.8,0.2919102456819142,4,3.6169675599226427,1.7573699623550778,-0.24044892595333622,3
noisy_food_adversarial,ablate_active_learning_cooldown,noisy_food_adversarial (ablate_active_learning_cooldown),0,10,0.7,0.28781088668869115,6,3.702071721282309,1.8083171261079312,-0.26476420371473847,2
noisy_food_adversarial,ablate_active_learning_cooldown,noisy_food_adversarial (ablate_active_learning_cooldown),1,10,0.8,0.2919102456819142,4,3.6169675599226427,1.7573699623550778,-0.24044892595333622,3
noisy_food_adversarial,ablate_confirmation_memory_floor,noisy_food_adversarial (ablate_confirmation_memory_floor),0,10,0.7,0.28781088668869115,6,3.702071721282309,1.8123070138066615,-0.26454657347662586,2
noisy_food_adversarial,ablate_confirmation_memory_floor,noisy_food_adversarial (ablate_confirmation_memory_floor),1,10,0.8,0.27193492908199424,4,3.6169675599226427,1.7353247125515203,-0.278170817167135,2
noisy_food_adversarial,ablate_anchor_override,noisy_food_adversarial (ablate_anchor_override),0,10,0.7,0.28781088668869115,6,3.702071721282309,1.8083171261079312,-0.26476420371473847,2
noisy_food_adversarial,ablate_anchor_override,noisy_food_adversarial (ablate_anchor_override),1,10,0.8,0.2919102456819142,4,3.6169675599226427,1.7573699623550778,-0.24044892595333622,3
marine_animals_adversarial,full,marine_animals_adversarial (full),0,10,0.9,0.29105591636569234,3,2.3198960292371025,2.0520115814556883,-0.06896074583707554,0
marine_animals_adversarial,full,marine_animals_adversarial (full),1,10,0.9,0.34106256131507595,3,3.5296861672619007,2.0520115814556883,-0.08942912840062003,5
marine_animals_adversarial,ablate_recency_blend,marine_animals_adversarial (ablate_recency_blend),0,10,0.9,0.2910101659580795,3,2.3198960292371025,2.0520115814556883,-0.06901696268488562,0
marine_animals_adversarial,ablate_recency_blend,marine_animals_adversarial (ablate_recency_blend),1,10,0.9,0.33037373408504594,3,3.5296861672619007,2.0520115814556883,-0.07757965268267401,5
marine_animals_adversarial,ablate_stale_feature_demotion,marine_animals_adversarial (ablate_stale_feature_demotion),0,10,0.9,0.29105591636569234,3,2.3198960292371025,2.0520115814556883,-0.06896074583707554,0
marine_animals_adversarial,ablate_stale_feature_demotion,marine_animals_adversarial (ablate_stale_feature_demotion),1,10,0.9,0.34106256131507595,3,3.5296861672619007,2.0520115814556883,-0.08942912840062003,5
marine_animals_adversarial,ablate_active_learning_cooldown,marine_animals_adversarial (ablate_active_learning_cooldown),0,10,0.9,0.29105591636569234,3,2.3198960292371025,2.0520115814556883,-0.06896074583707554,0
marine_animals_adversarial,ablate_active_learning_cooldown,marine_animals_adversarial (ablate_active_learning_cooldown),1,10,0.9,0.34106256131507595,3,3.5296861672619007,2.0520115814556883,-0.08942912840062003,6
marine_animals_adversarial,ablate_confirmation_memory_floor,marine_animals_adversarial (ablate_confirmation_memory_floor),0,10,0.9,0.29616103452296777,3,2.3198960292371025,1.9676561682280411,-0.06053252016561514,2
marine_animals_adversarial,ablate_confirmation_memory_floor,marine_animals_adversarial (ablate_confirmation_memory_floor),1,10,0.9,0.34106256131507595,3,3.5296861672619007,2.0520115814556883,-0.08942912840062003,5
marine_animals_adversarial,ablate_anchor_override,marine_animals_adversarial (ablate_anchor_override),0,10,0.9,0.29105591636569234,3,2.3198960292371025,2.0520115814556883,-0.06896074583707554,0
marine_animals_adversarial,ablate_anchor_override,marine_animals_adversarial (ablate_anchor_override),1,10,0.9,0.34106256131507595,3,3.5296861672619007,2.0520115814556883,-0.08942912840062003,5
